Model,AVG AUG LBW,AVG F1 LBW,AVG AUG CIR,AVG F1 CIR,AVG AUG PRE,AVG F1 PRE,AVG AUG C3,AVG F1 C3
ANN,0.64,0.24,0.47,0.19,0.35,0.14,0.43,0.26
MobileNet-no-TL-CW,0.68,0.27,0.52,0.13,0.43,0.17,0.52,0.27
MobileNet-TL-CW,0.63,0.29,0.52,0.16,0.33,0.13,0.41,0.26
ResNet18-no-TL-CW,0.46,0.15,0.49,0.21,0.34,0.13,0.43,0.26
ResNet18-TL-CW,0.60,0.20,0.52,0.21,0.47,0.18,0.53,0.28
ResNet50-no-TL-CW,0.58,0.20,0.48,0.15,0.39,0.14,0.48,0.26
ResNet50-TL-CW,0.64,0.22,0.51,0.19,0.36,0.16,0.42,0.25
VGG16-no-TL-CW,0.56,0.16,0.44,0.14,0.52,0.15,0.46,0.25
VGG16-TL-CW,0.52,0.20,0.45,0.15,0.43,0.15,0.46,0.27
ANN-no-CW,0.65,0.16,0.46,0.19,0.58,0.22,0.40,0.25
MobileNet-no-TL-no-CW,0.61,0.20,0.55,0.14,0.42,0.17,0.51,0.29
MobileNet-TL-no-CW,0.75,0.35,0.41,0.14,0.44,0.15,0.45,0.26
ResNet18-no-TL-no-CW,0.58,0.16,0.55,0.18,0.41,0.13,0.55,0.27
ResNet18-TL-no-CW,0.45,0.15,0.53,0.20,0.45,0.20,0.51,0.28
ResNet50-no-TL-no-CW,0.61,0.26,0.46,0.13,0.41,0.14,0.42,0.25
ResNet50-TL-no-CW,0.65,0.22,0.51,0.19,0.34,0.14,0.45,0.26
VGG16-no-TL-no-CW,0.56,0.16,0.41,0.14,0.35,0.14,0.41,0.25
VGG16-TL-no-CW,0.61,0.22,0.58,0.23,0.40,0.13,0.44,0.26
