Criteria,Model Name,"Max Sensitivity at Specificity=1-Prevalence",AUC,"F1-Score Positive Class",Accuracy,Specificity,PPV,NPV,PLR,NLR
C3,ANN,0.24,0.52,0.24,0.69,0.81,0.25,0.79,1.24,0.94
C3,"ANN-no-CW",0.19,0.56,0.18,0.66,0.79,0.19,0.78,0.84,1.04
C3,"VGG16-no-TL",0.22,0.51,0.21,0.66,0.79,0.21,0.78,0.97,1.01
C3,"VGG16-no-TL-no-CW",0.17,0.50,0.17,0.67,0.81,0.18,0.78,0.83,1.04
C3,"VGG16-TL",0.26,0.49,0.25,0.68,0.80,0.25,0.80,1.24,0.94
C3,"VGG16-TL-no-CW",0.26,0.54,0.24,0.67,0.79,0.24,0.79,1.16,0.96
C3,"ResNet50-no-TL",0.18,0.50,0.18,0.66,0.80,0.19,0.78,0.83,1.04
C3,"ResNet50-no-TL-no-CW",0.24,0.54,0.23,0.67,0.79,0.23,0.79,1.08,0.98
C3,"ResNet50-TL",0.19,0.48,0.20,0.69,0.84,0.23,0.79,1.09,0.98
C3,"ResNet50-TL-no-CW",0.10,0.44,0.10,0.67,0.82,0.12,0.77,0.51,1.10
C3,"MobileNet-no-TL",0.33,0.57,0.30,0.69,0.79,0.29,0.81,1.50,0.86
C3,"MobileNet-no-TL-no-CW",0.26,0.55,0.25,0.68,0.80,0.25,0.80,1.24,0.94
C3,"MobileNet-TL",0.27,0.53,0.25,0.68,0.79,0.25,0.80,1.24,0.94
C3,"MobileNet-TL-no-CW",0.26,0.53,0.24,0.67,0.79,0.24,0.79,1.16,0.96
C3,"ResNet18-no-TL",0.26,0.56,0.24,0.67,0.79,0.24,0.79,1.16,0.96
C3,"ResNet18-no-TL-no-CW",0.27,0.54,0.26,0.68,0.80,0.26,0.80,1.28,0.93
C3,"ResNet18-TL",0.17,0.54,0.17,0.67,0.81,0.18,0.78,0.80,1.05
C3,"ResNet18-TL-no-CW",0.36,0.58,0.33,0.69,0.79,0.31,0.82,1.64,0.83
LBW,ANN,0.28,0.55,0.25,0.75,0.85,0.24,0.86,1.7,0.87
