Criteria,Model Name,Max Sensitivity at Specificity=1-Prevalence,AUC,F1-Score Positive Class,Accuracy,Specificity,PPV,NPV,PLR,NLR
C3,ANN,0.18,0.48,0.18,0.67,0.81,0.19,0.78,0.88,1.03
C3,ANN-no-CW,0.31,0.54,0.29,0.69,0.79,0.28,0.80,1.42,0.89
C3,VGG16-no-TL,0.31,0.54,0.29,0.68,0.79,0.28,0.80,1.40,0.89
C3,VGG16-no-TL-no-CW,0.17,0.48,0.16,0.65,0.79,0.17,0.77,0.73,1.07
C3,VGG16-TL,0.22,0.53,0.22,0.69,0.82,0.24,0.79,1.12,0.97
C3,VGG16-TL-no-CW,0.21,0.53,0.20,0.66,0.79,0.20,0.78,0.91,1.02
C3,ResNet50-no-TL,0.26,0.51,0.24,0.67,0.79,0.24,0.79,1.18,0.95
C3,ResNet50-no-TL-no-CW,0.27,0.55,0.25,0.67,0.79,0.25,0.80,1.22,0.94
C3,ResNet50-TL,0.21,0.48,0.20,0.68,0.81,0.22,0.79,1.01,1.00
C3,ResNet50-TL-no-CW,0.15,0.45,0.15,0.66,0.80,0.16,0.77,0.69,1.08
C3,MobileNet-no-TL,0.22,0.53,0.21,0.67,0.80,0.22,0.79,1.04,0.99
C3,MobileNet-no-TL-no-CW,0.29,0.54,0.28,0.68,0.79,0.27,0.80,1.34,0.91
C3,MobileNet-TL,0.19,0.50,0.18,0.66,0.79,0.19,0.78,0.85,1.04
C3,MobileNet-TL-no-CW,0.21,0.47,0.20,0.67,0.81,0.21,0.78,1.00,1.00
C3,ResNet18-no-TL,0.29,0.51,0.28,0.68,0.79,0.27,0.80,1.34,0.91
C3,ResNet18-no-TL-no-CW,0.24,0.51,0.24,0.69,0.82,0.26,0.80,1.26,0.94
C3,ResNet18-TL,0.21,0.52,0.19,0.66,0.79,0.20,0.78,0.90,1.03
LBW,ANN,0.19,0.51,0.18,0.74,0.84,0.18,0.84,1.15,0.97
LBW,ANN-no-CW,0.22,0.52,0.20,0.74,0.84,0.20,0.85,1.32,0.94
LBW,VGG16-no-TL,0,0.5,0,0.84,1,0,0.84,,1
LBW,VGG16-no-TL-no-CW,0.25,0.55,0.23,0.75,0.85,0.23,0.85,1.55,0.9
LBW,VGG16-TL,0.17,0.5,0.17,0.77,0.89,0.20,0.85,1.35,0.96
LBW,VGG16-TL-no-CW,0.19,0.57,0.18,0.74,0.84,0.18,0.84,1.15,0.97
LBW,ResNet50-no-TL,0.1,0.48,0.1,0.75,0.88,0.12,0.84,0.69,1.04
LBW,ResNet50-no-TL-no-CW,0.19,0.52,0.19,0.75,0.86,0.19,0.85,1.27,0.95
LBW,ResNet50-TL,0.24,0.52,0.22,0.75,0.85,0.22,0.85,1.51,0.91
LBW,ResNet50-TL-no-CW,0.14,0.51,0.13,0.74,0.86,0.14,0.84,0.87,1.02
LBW,MobileNet-no-TL,0.17,0.51,0.15,0.73,0.84,0.15,0.84,0.97,1.01
LBW,MobileNet-no-TL-no-CW,0.28,0.62,0.25,0.75,0.85,0.24,0.86,1.7,0.87
LBW,MobileNet-TL,0.08,0.45,0.08,0.73,0.86,0.08,0.83,0.48,1.09
LBW,MobileNet-TL-no-CW,0.08,0.52,0.08,0.74,0.87,0.09,0.83,0.53,1.07
LBW,ResNet18-no-TL,0.11,0.47,0.1,0.73,0.85,0.11,0.83,0.66,1.06
LBW,ResNet18-no-TL-no-CW,0.22,0.54,0.21,0.75,0.85,0.21,0.85,1.37,0.93
LBW,ResNet18-TL,0.15,0.5,0.15,0.75,0.87,0.17,0.84,1.06,0.99
LBW,ResNet18-TL-no-CW,0.21,0.51,0.19,0.74,0.85,0.19,0.85,1.28,0.95
PRE,ANN,0.00,0.38,0.00,0.93,1.00,0.00,0.93,,1.00
PRE,ANN-no-CW,0.17,0.60,0.10,0.89,0.95,0.12,0.93,1.83,0.96
PRE,VGG16-no-TL,0.00,0.26,0.00,0.93,1.00,0.00,0.93,,1.00
PRE,VGG16-no-TL-no-CW,0.00,0.23,0.00,0.93,1.00,0.00,0.93,,1.00
PRE,VGG16-TL,0.17,0.54,0.09,0.87,0.94,0.09,0.93,1.28,0.98
PRE,VGG16-TL-no-CW,0.08,0.39,0.00,0.93,1.00,0.00,0.93,,1.00
PRE,ResNet50-no-TL,0.08,0.44,0.00,0.90,0.97,0.00,0.93,0.00,1.03
PRE,ResNet50-no-TL-no-CW,0.08,0.39,0.00,0.91,0.98,0.00,0.93,0.00,1.02
PRE,ResNet50-TL,0.00,0.39,0.00,0.93,1.00,0.00,0.93,,1.00
PRE,ResNet50-TL-no-CW,0.00,0.32,0.00,0.93,1.00,0.00,0.93,,1.00
PRE,MobileNet-no-TL,0.08,0.57,0.00,0.90,0.97,0.00,0.93,0.00,1.03
PRE,MobileNet-no-TL-no-CW,0.25,0.52,0.16,0.87,0.93,0.15,0.93,2.33,0.90
PRE,MobileNet-TL,0.00,0.29,0.00,0.93,1.00,0.00,0.93,,1.00
PRE,MobileNet-TL-no-CW,0.00,0.45,0.00,0.93,1.00,0.00,0.93,,1.00
PRE,ResNet18-no-TL,0.00,0.32,0.00,0.93,1.00,0.00,0.93,,1.00
PRE,ResNet18-no-TL-no-CW,0.08,0.44,0.00,0.90,0.97,0.00,0.93,0.00,1.03
PRE,ResNet18-TL,0.17,0.56,0.10,0.89,0.95,0.12,0.93,1.83,0.96
PRE,ResNet18-TL-no-CW,0.42,0.73,0.31,0.89,0.94,0.29,0.95,5.13,0.71
CIR,ANN,0.25,0.6,0.17,0.88,0.94,0.17,0.94,2.57,0.89
CIR,ANN-no-CW,0.17,0.55,0.13,0.92,0.99,0.33,0.93,6.42,0.93
CIR,VGG16-no-TL,0,0.42,0,0.93,1,0,0.93,,1
CIR,VGG16-no-TL-no-CW,0,0.35,0,0.93,1,0,0.93,,1
CIR,VGG16-TL,0,0.32,0,0.93,1,0,0.93,,1
CIR,VGG16-TL-no-CW,0.25,0.55,0.16,0.87,0.93,0.15,0.93,2.33,0.90
CIR,ResNet50-no-TL,0,0.39,0,0.93,1,0,0.93,,1
CIR,ResNet50-no-TL-no-CW,0.08,0.47,0,0.87,0.94,0,0.92,0,1.06
CIR,ResNet50-TL,0.17,0.56,0.12,0.91,0.97,0.2,0.93,3.21,0.94
CIR,ResNet50-TL-no-CW,0.08,0.52,0,0.92,0.99,0,0.93,0,1.01
CIR,MobileNet-no-TL,0,0.45,0,0.93,1,0,0.93,,1
CIR,MobileNet-no-TL-no-CW,0,0.48,0,0.93,1,0,0.93,,1
CIR,MobileNet-TL,0.08,0.52,0,0.90,0.97,0,0.93,0,1.03
CIR,MobileNet-TL-no-CW,0,0.39,0,0.93,1,0,0.93,,1
CIR,ResNet18-no-TL,0.25,0.53,0.18,0.89,0.95,0.2,0.94,3.21,0.88
CIR,ResNet18-no-TL-no-CW,0,0.4,0,0.93,1,0,0.93,,1
CIR,ResNet18-TL,0,0.58,0,0.93,1,0,0.93,,1
CIR,ResNet18-TL-no-CW,0,0.56,0,0.93,1,0,0.93,,1
