Criteria,Model Name,Max Sensitivity at Specificity=1-Prevalence,AUC,F1-Score Positive Class,Accuracy,Specificity,PPV,NPV,PLR,NLR
C3,ANN,0.29,0.51,0.28,0.68,0.79,0.27,0.80,1.36,0.91
C3,ANN-no-CW,0.23,0.50,0.22,0.67,0.79,0.22,0.79,1.04,0.99
C3,VGG16-no-TL,0.17,0.47,0.17,0.67,0.81,0.18,0.78,0.80,1.05
C3,VGG16-no-TL-no-CW,0.13,0.44,0.12,0.65,0.79,0.13,0.77,0.56,1.12
C3,VGG16-TL,0.22,0.48,0.21,0.67,0.80,0.22,0.79,1.01,1.00
C3,VGG16-TL-no-CW,0.21,0.45,0.20,0.66,0.79,0.20,0.78,0.91,1.02
C3,ResNet50-no-TL,0.31,0.52,0.28,0.68,0.79,0.27,0.80,1.38,0.90
C3,ResNet50-no-TL-no-CW,0.27,0.52,0.26,0.69,0.81,0.27,0.80,1.33,0.92
C3,ResNet50-TL,0.21,0.50,0.19,0.66,0.79,0.20,0.78,0.90,1.03
C3,ResNet50-TL-no-CW,0.24,0.54,0.23,0.67,0.79,0.23,0.79,1.08,0.98
C3,MobileNet-no-TL,0.18,0.48,0.17,0.66,0.79,0.18,0.78,0.79,1.06
C3,MobileNet-no-TL-no-CW,0.17,0.46,0.16,0.66,0.79,0.17,0.77,0.74,1.07
C3,MobileNet-TL,0.22,0.45,0.21,0.66,0.79,0.21,0.78,0.97,1.01
C3,MobileNet-TL-no-CW,0.19,0.45,0.18,0.66,0.79,0.19,0.78,0.84,1.04
C3,ResNet18-no-TL,0.22,0.52,0.21,0.66,0.79,0.21,0.78,0.96,1.01
C3,ResNet18-no-TL-no-CW,0.26,0.54,0.24,0.67,0.79,0.24,0.79,1.16,0.96
C3,ResNet18-TL,0.32,0.54,0.29,0.68,0.79,0.28,0.81,1.44,0.88
C3,ResNet18-TL-no-CW,0.17,0.50,0.17,0.67,0.81,0.18,0.78,0.83,1.04
LBW,ANN,0.14,0.48,0.13,0.74,0.86,0.14,0.84,0.87,1.02
LBW,ANN-no-CW,0.17,0.51,0.16,0.74,0.85,0.16,0.84,1.04,0.99
LBW,VGG16-no-TL,0.11,0.49,0.1,0.74,0.86,0.11,0.83,0.67,1.06
LBW,VGG16-no-TL-no-CW,0.12,0.50,0.12,0.74,0.86,0.13,0.84,0.80,1.03
LBW,VGG16-TL,0.17,0.52,0.16,0.75,0.86,0.17,0.84,1.10,0.98
LBW,VGG16-TL-no-CW,0.17,0.49,0.16,0.74,0.85,0.16,0.84,1.00,1.00
