Criteria,Model Name,Max Sensitivity at Specificity=1-Prevalence,AUC,F1-Score Positive Class,Accuracy,Sensitivity,Specificity,PPV,NPV,PLR,NLR
C3,VGG16-TL,0.26,0.52,0.25,0.69,0.24,0.81,0.26,0.80,1.29,0.93
C3,VGG16-TL-AUG,0.27,0.55,0.25,0.67,0.26,0.79,0.25,0.79,1.20,0.95
C3,VGG16-TL-AUG-no-CW,0.32,0.52,0.31,0.70,0.31,0.81,0.30,0.81,1.59,0.86
C3,VGG16-no-TL,0.15,0.52,0.16,0.67,0.14,0.82,0.17,0.78,0.77,1.05
C3,VGG16-no-TL-AUG,0.23,0.56,0.23,0.68,0.22,0.81,0.24,0.79,1.15,0.96
C3,VGG16-no-TL-AUG-no-CW,0.18,0.47,0.17,0.65,0.17,0.79,0.18,0.78,0.78,1.06
C3,ResNet18-TL,0.26,0.52,0.25,0.68,0.24,0.80,0.25,0.79,1.22,0.95
C3,ResNet18-TL-AUG,0.23,0.51,0.22,0.67,0.22,0.80,0.23,0.79,1.07,0.98
C3,ResNet18-TL-AUG-no-CW,0.23,0.53,0.22,0.67,0.22,0.79,0.22,0.79,1.04,0.99
C3,ResNet18-no-TL,0.22,0.47,0.21,0.67,0.21,0.79,0.21,0.78,0.99,1.00
C3,ResNet18-no-TL-AUG,0.36,0.58,0.33,0.69,0.35,0.79,0.31,0.82,1.64,0.83
C3,ResNet18-no-TL-no-CW,0.31,0.54,0.29,0.69,0.29,0.79,0.28,0.80,1.42,0.89
LBW,VGG16-TL,0.17,0.51,0.16,0.74,0.15,0.85,0.16,0.84,1.02,1
LBW,VGG16-TL-AUG,0.21,0.51,0.19,0.74,0.19,0.85,0.19,0.85,1.28,0.95
LBW,VGG16-TL-AUG-no-CW,0.26,0.52,0.27,0.78,0.25,0.88,0.29,0.86,2.16,0.85
LBW,VGG16-no-TL,0.14,0.55,0.13,0.73,0.12,0.84,0.13,0.84,0.79,1.04
LBW,VGG16-no-TL-AUG,0.11,0.54,0.1,0.72,0.1,0.84,0.1,0.83,0.62,1.07
LBW,VGG16-no-TL-AUG-no-CW,0.18,0.51,0.17,0.74,0.17,0.84,0.17,0.84,1.06,0.99
LBW,ResNet18-TL,0.08,0.48,0.07,0.73,0.07,0.85,0.08,0.83,0.46,1.09
LBW,ResNet18-TL-AUG,0.24,0.55,0.22,0.75,0.22,0.86,0.23,0.85,1.54,0.91
LBW,ResNet18-TL-AUG-no-CW,0.15,0.5,0.15,0.75,0.14,0.87,0.17,0.84,1.06,0.99
LBW,ResNet18-no-TL,0.15,0.51,0.14,0.74,0.14,0.85,0.15,0.84,0.93,1.01
LBW,ResNet18-no-TL-AUG,0.17,0.52,0.15,0.74,0.15,0.85,0.16,0.84,0.99,1
LBW,ResNet18-no-TL-no-CW,0.14,0.51,0.16,0.79,0.12,0.91,0.21,0.85,1.4,0.96
PRE,VGG16-TL,0.08,0.43,0.00,0.93,0.00,1.00,0.00,0.93,,1
PRE,VGG16-TL-AUG,0.17,0.52,0.09,0.88,0.08,0.94,0.10,0.93,1.43,0.97
PRE,VGG16-TL-AUG-no-CW,0.08,0.40,0.00,0.87,0.00,0.94,0.00,0.92,0.00,1.06
PRE,VGG16-no-TL,0.25,0.78,0.16,0.87,0.17,0.93,0.15,0.93,2.33,0.90
PRE,VGG16-no-TL-AUG,0.00,0.67,0.00,0.93,0.00,1.00,0.00,0.93,,1
PRE,VGG16-no-TL-AUG-no-CW,0.08,0.41,0.00,0.93,0.00,1.00,0.00,0.93,,1
PRE,ResNet18-TL,0.08,0.57,0.00,0.89,0.00,0.95,0.00,0.92,0.00,1.05
PRE,ResNet18-TL-AUG,0.00,0.47,0.00,0.93,0.00,1.00,0.00,0.93,,1
PRE,ResNet18-TL-AUG-no-CW,0.00,0.38,0.00,0.93,0.00,1.00,0.00,0.93,,1
PRE,ResNet18-no-TL,0.00,0.53,0.00,0.93,0.00,1.00,0.00,0.93,,1
PRE,ResNet18-no-TL-AUG,0.25,0.63,0.17,0.89,0.17,0.94,0.18,0.94,2.85,0.89
PRE,ResNet18-no-TL-no-CW,0.00,0.40,0.00,0.93,0.00,1.00,0.00,0.93,,1
CIR,VGG16-TL,0.08,0.44,0,0.93,0,1,0,0.93,,1
CIR,VGG16-TL-AUG,0.25,0.55,0.17,0.88,0.17,0.94,0.17,0.94,2.57,0.89
CIR,VGG16-TL-AUG-no-CW,0.08,0.4,0,0.87,0,0.94,0,0.92,0,1.06
CIR,VGG16-no-TL,0.08,0.42,0,0.93,0,1,0,0.93,,1
CIR,VGG16-no-TL-AUG,0,0.37,0,0.93,0,1,0,0.93,,1
CIR,VGG16-no-TL-AUG-no-CW,0.08,0.43,0,0.93,0,1,0,0.93,,1
CIR,ResNet18-TL,0.08,0.53,0,0.89,0,0.95,0,0.92,0,1.05
CIR,ResNet18-TL-AUG,0.17,0.57,0.11,0.9,0.08,0.96,0.14,0.93,2.14,0.95
CIR,ResNet18-TL-AUG-no-CW,0.08,0.51,0,0.88,0,0.95,0,0.92,0,1.05
CIR,ResNet18-no-TL,0.17,0.48,0.09,0.87,0.08,0.94,0.09,0.93,1.28,0.98
CIR,ResNet18-no-TL-AUG,0.17,0.48,0.12,0.91,0.08,0.97,0.2,0.93,3.21,0.94
CIR,ResNet18-no-TL-no-CW,0,0.4,0,0.93,0,1,0,0.93,,1
