,LBW,LBW,CIR,CIR,PRE,PRE,C3,C3
,AVG AUC,AVG F1 POS,AVG AUC,AVG F1 POS,AVG AUC,AVG F1 POS,AVG AUC,AVG F1 POS
GLCM-LR-CW, 0.55, 0.13, 0.52, 0.15, 0.43, 0.14, 0.49, 0.25
GLCM-LR-no-CW, 0.56, 0.12, 0.50, 0.14, 0.48, 0.14, 0.49, 0.26
GLCM-SVC-CW, 0.57, 0.12, 0.53, 0.13, 0.50, 0.13, 0.52, 0.25
GLCM-SVC-no-CW, 0.52, 0.13, 0.49, 0.13, 0.50, 0.13, 0.50, 0.25
GLCM-XGBOOST-CW, 0.55, 0.12, 0.42, 0.12, 0.46, 0.12, 0.51, 0.25
GLCM-XGBOOST-no-CW, 0.53, 0.16, 0.42, 0.13, 0.45, 0.12, 0.49, 0.25
HOG-LR-CW, 0.57, 0.14, 0.52, 0.18, 0.47, 0.15, 0.51, 0.26
HOG-LR-no-CW, 0.58, 0.14, 0.51, 0.16, 0.46, 0.14, 0.51, 0.25
HOG-SVC-CW, 0.49, 0.11, 0.51, 0.12, 0.50, 0.13, 0.52, 0.25
HOG-SVC-no-CW, 0.47, 0.13, 0.51, 0.13, 0.50, 0.14, 0.52, 0.26
HOG-XGBOOST-CW, 0.51, 0.11, 0.54, 0.16, 0.48, 0.15, 0.54, 0.26
HOG-XGBOOST-no-CW, 0.54, 0.13, 0.53, 0.16, 0.52, 0.12, 0.48, 0.25
