CRITERIA,TRIAL,Best architecture,Max.Sensitivity
C3,TRIAL 1,HOG + LR,0.26
C3,TRIAL 2,HOG + SVC [CW],0.25
C3,TRIAL 3,HOG + XGBOOST [CW, AUG],0.27
C3,TRIAL 4,GLCM + SVC [CW, AUG],0.29
C3,TRIAL 5,GLCM + SVC,0.32
LBW,TRIAL 1,LBW_HOG_SVC,0.21
LBW,TRIAL 2,LBW_HOG_XGBOOST,0.21
LBW,TRIAL 3,LBW_HOG_XGBOOST-no-CW,0.23
LBW,TRIAL 4,LBW_GLCM_XGBOOST-no-CW,0.21
LBW,TRIAL 5,LBW-SVC-no-AUG-no-CW,0.17
CIR,TRIAL 1,CIR_HOG_XGBOOST,0.19
CIR,TRIAL 2,CIR_HOG_XGBOOST,0.14
CIR,TRIAL 3,CIR_HOG_XGBOOST,0.19
CIR,TRIAL 4,CIR_HOG_LR,0.24
CIR,TRIAL 5,CIR-LR-no-AUG-no-CW,0.14
PRE,TRIAL 1,PRE_GLCM_LR,0.19
PRE,TRIAL 2,PRE_GLCM_LR,0.19
PRE,TRIAL 3,PRE_HOG_SVC,0.05
PRE,TRIAL 4,PRE_GLCM_SVC,0.19
PRE,TRIAL 5,PRE-LR-no-AUG-no-CW,0.1
