Model Name,Max Sensitivity,AUC,F1-Score Pos Class,Accuracy,Sensitivity,Specificity,PPV,NPV,PLR,NLR
C3_HOG_SVC,0.23,0.5,0.22,0.67,0.22,0.79,0.22,0.79,1.04,0.99
C3_HOG_SVC-no-CW,0.2,0.49,0.21,0.71,0.19,0.85,0.25,0.79,1.22,0.96
C3_HOG_XGBOOST,0.27,0.54,0.26,0.68,0.26,0.79,0.25,0.8,1.24,0.94
C3_HOG_XGBOOST-no-CW,0.21,0.51,0.21,0.68,0.2,0.8,0.21,0.79,1.01,1
C3_HOG_LR,0.18,0.51,0.17,0.66,0.17,0.79,0.18,0.78,0.79,1.05
C3_HOG_LR-no-CW,0.19,0.5,0.18,0.66,0.18,0.79,0.18,0.78,0.84,1.04
C3_GLCM_SVC,0.24,0.51,0.23,0.67,0.23,0.79,0.23,0.79,1.09,0.98
C3_GLCM_SVC-no-CW,0.15,0.49,0.15,0.67,0.14,0.82,0.17,0.78,0.74,1.06
C3_GLCM_XGBOOST,0.19,0.46,0.18,0.67,0.18,0.8,0.19,0.78,0.88,1.03
C3_GLCM_XGBOOST-no-CW,0.18,0.43,0.17,0.66,0.17,0.8,0.18,0.78,0.82,1.05
C3_GLCM_LR,0.2,0.49,0.19,0.66,0.19,0.79,0.19,0.78,0.89,1.03
C3_GLCM_LR-no-CW,0.16,0.47,0.15,0.66,0.15,0.79,0.16,0.78,0.7,1.08
LBW_HOG_SVC,0.17,0.51,0.16,0.73,0.16,0.84,0.16,0.84,1.01,1
LBW_HOG_SVC-no-CW,0.13,0.51,0.12,0.73,0.11,0.85,0.13,0.83,0.77,1.04
LBW_HOG_XGBOOST,0.2,0.5,0.19,0.75,0.18,0.85,0.19,0.85,1.25,0.96
LBW_HOG_XGBOOST-no-CW,0.23,0.53,0.21,0.74,0.22,0.84,0.21,0.85,1.38,0.93
LBW_HOG_LR,0.14,0.5,0.14,0.75,0.13,0.86,0.15,0.84,0.93,1.01
LBW_HOG_LR-no-CW,0.11,0.5,0.11,0.74,0.1,0.86,0.13,0.83,0.76,1.04
LBW_GLCM_SVC,0.13,0.5,0.13,0.76,0.11,0.88,0.15,0.84,0.94,1.01
LBW_GLCM_SVC-no-CW,0.14,0.48,0.13,0.73,0.13,0.84,0.13,0.83,0.8,1.04
LBW_GLCM_XGBOOST,0.1,0.42,0.11,0.76,0.09,0.89,0.14,0.84,0.86,1.02
LBW_GLCM_XGBOOST-no-CW,0.14,0.45,0.13,0.73,0.13,0.84,0.13,0.83,0.79,1.04
LBW_GLCM_LR,0.11,0.48,0.11,0.73,0.1,0.85,0.12,0.83,0.69,1.05
LBW_GLCM_LR-no-CW,0.14,0.45,0.13,0.73,0.13,0.84,0.13,0.83,0.79,1.04
CIR_HOG_SVC,0.14,0.53,0.1,0.89,0.1,0.94,0.11,0.94,1.7,0.96
CIR_HOG_SVC-no-CW,0.1,0.53,0.07,0.92,0.05,0.98,0.17,0.94,2.9,0.97
CIR_HOG_XGBOOST,0.19,0.54,0.15,0.9,0.14,0.95,0.17,0.94,2.9,0.9
CIR_HOG_XGBOOST-no-CW,0.19,0.61,0.14,0.89,0.14,0.94,0.14,0.94,2.41,0.91
CIR_HOG_LR,0.14,0.5,0.1,0.88,0.1,0.94,0.1,0.94,1.52,0.97
CIR_HOG_LR-no-CW,0.14,0.52,0.13,0.92,0.1,0.97,0.2,0.94,3.62,0.93
CIR_GLCM_SVC,0.19,0.56,0.14,0.89,0.14,0.94,0.14,0.94,2.29,0.91
CIR_GLCM_SVC-no-CW,0,0.46,0,0.94,0,1,0,0.94,0,1
CIR_GLCM_XGBOOST,0.05,0.47,0,0.9,0,0.97,0,0.93,0,1.03
CIR_GLCM_XGBOOST-no-CW,0.05,0.49,0,0.92,0,0.98,0,0.93,0,1.02
CIR_GLCM_LR,0.14,0.55,0.15,0.93,0.1,0.99,0.4,0.94,9.65,0.91
CIR_GLCM_LR-no-CW,0.05,0.54,0,0.88,0,0.94,0,0.93,0,1.07
PRE_HOG_SVC,0.05,0.51,0,0.89,0,0.95,0,0.93,0,1.05
PRE_HOG_SVC-no-CW,0,0.54,0,0.94,0,1,0,0.94,0,1
PRE_HOG_XGBOOST,0.1,0.45,0.05,0.88,0.05,0.94,0.05,0.93,0.8,1.01
PRE_HOG_XGBOOST-no-CW,0.05,0.46,0,0.88,0,0.94,0,0.93,0,1.06
PRE_HOG_LR,0,0.47,0,0.94,0,1,0,0.94,0,1
PRE_HOG_LR-no-CW,0,0.46,0,0.94,0,1,0,0.94,0,1
PRE_GLCM_SVC,0,0.42,0,0.94,0,1,0,0.94,0,1
PRE_GLCM_SVC-no-CW,0.05,0.47,0,0.88,0,0.94,0,0.93,0,1.07
PRE_GLCM_XGBOOST,0.05,0.4,0,0.9,0,0.97,0,0.93,0,1.03
PRE_GLCM_XGBOOST-no-CW,0.05,0.43,0,0.92,0,0.98,0,0.93,0,1.02
PRE_GLCM_LR,0.05,0.41,0,0.92,0,0.98,0,0.93,0,1.02
PRE_GLCM_LR-no-CW,0.05,0.48,0,0.9,0,0.96,0,0.93,0,1.04
