Model Name,AUC,F1-Score Positive Class,Accuracy,Sensitivity,Specificity,PPV,NPV,PLR,NLR
CIR-SVC-noaug-poly,0.55,0.14,0.51,0.62,0.5,0.08,0.95,1.25,0.76
CIR-SVC-noaug-linear,0.42,0.12,0.06,1,0,0.06,,1,
PRE-SVC-noaug-poly,0.45,0.12,0.06,1,0,0.06,,1,
PRE-SVC-noaug-linear,0.57,0.15,0.43,0.76,0.41,0.08,0.96,1.29,0.58
LBW-SVC-noaug-poly,0.64,0.15,0.79,0.33,0.82,0.1,0.95,1.87,0.81
LBW-SVC-noaug-linear,0.64,0.16,0.68,0.56,0.68,0.09,0.96,1.75,0.65
C3-SVC-noaug-poly,0.49,0.25,0.14,1,0,0.14,,1,
C3-SVC-noaug-linear,0.51,0.25,0.14,1,0,0.14,,1,
,,,,,,,,,
,,,,,,,,,
Model Name,AUC,F1-Score Positive Class,Accuracy,Sensitivity,Specificity,PPV,NPV,PLR,NLR
LBW-SVC-poly,0.55,0.12,0.78,0.28,0.81,0.08,0.95,1.45,0.89
LBW-SVC-linear,0.47,0.11,0.06,1,0,0.06,,1,
PRE-SVC-poly,0.5,0.12,0.06,1,0,0.06,,1,
PRE-SVC-linear,0.38,0.12,0.06,1,0,0.06,,1,
C3-SVC-poly,0.5,0.25,0.14,1,0,0.14,,1,
C3-SVC-linear,0.54,0.25,0.14,1,0,0.14,,1,
CIR-SVC-poly,0.63,0.15,0.39,0.81,0.36,0.08,0.96,1.26,0.53
CIR-SVC-linear,0.45,0.12,0.06,1,0,0.06,,1,
